Ni;Ti;Hf;Cv;melting point;electronegativity;atomic radius;ionic radius;atomic mass;wcr;hom.T;hom.time;sht.T;sht.time;ag.T;ag.time;Af;Hysteresis
50.3;19.7;30;0.1754;1730.2;1.6541;0.1395;0.0794;92.514;0.509;0;0;1050;2;0;0;622;135
50.3;24.7;25;0.1871;1702.1;1.6661;0.1389;0.079;85.985;0.492;0;0;1050;2;0;0;428;95
50.3;29.7;20;0.2004;1674.1;1.6781;0.1383;0.0786;79.455;0.475;0;0;1050;2;0;0;289;32
50.3;34.7;15;0.2158;1646;1.6901;0.1377;0.0782;72.926;0.458;0;0;1050;2;0;0;183;40
50.3;39.7;10;0.2338;1618;1.7021;0.1371;0.0778;66.396;0.441;0;0;1050;2;0;0;127;75
50.3;44.7;5;0.255;1589.9;1.7141;0.1365;0.0774;59.867;0.424;0;0;1050;2;0;0;103;62
50.3;49.7;0;0.2805;1561.9;1.7261;0.1359;0.077;53.337;0.407;0;0;1050;2;0;0;78;32
50;20;30;0.175;1730.8;1.653;0.1396;0.0794;92.482;0.509;0;0;1050;2;0;0;583;66
50;25;25;0.1867;1702.8;1.665;0.139;0.079;85.953;0.492;0;0;1050;2;0;0;426;48
50;30;20;0.2;1674.7;1.677;0.1384;0.0786;79.423;0.475;0;0;1050;2;0;0;335;37
50;35;15;0.2154;1646.7;1.689;0.1378;0.0782;72.894;0.458;0;0;1050;2;0;0;249;45
50;40;10;0.2333;1618.6;1.701;0.1372;0.0778;66.364;0.441;0;0;1050;2;0;0;187;61
50;45;5;0.2545;1590.6;1.713;0.1366;0.0774;59.835;0.424;0;0;1050;2;0;0;141;54
50;50;0;0.28;1562.5;1.725;0.136;0.077;53.305;0.407;0;0;1050;2;0;0;106;37
49.8;20.2;30;0.1748;1731.2;1.6523;0.1396;0.0794;92.46;0.509;0;0;1050;2;0;0;579;62
49.8;25.2;25;0.1864;1703.2;1.6643;0.139;0.079;85.931;0.492;0;0;1050;2;0;0;442;36
49.8;30.2;20;0.1997;1675.1;1.6763;0.1384;0.0786;79.401;0.475;0;0;1050;2;0;0;337;31
49.8;35.2;15;0.2151;1647.1;1.6883;0.1378;0.0782;72.872;0.458;0;0;1050;2;0;0;244;50
49.8;40.2;10;0.233;1619;1.7003;0.1372;0.0778;66.342;0.441;0;0;1050;2;0;0;188;62
49.8;45.2;5;0.2542;1591;1.7123;0.1366;0.0774;59.813;0.424;0;0;1050;2;0;0;137.6;58
49.8;50.2;0;0.2797;1562.9;1.7243;0.136;0.077;53.283;0.407;0;0;1050;2;0;0;115.3;32
50.6;24.4;25;0.1874;1701.5;1.6672;0.1389;0.079;86.017;0.491;1000;4;900;1;500;4;275;29
50.6;24.4;25;0.1874;1701.5;1.6672;0.1389;0.079;86.017;0.491;1000;4;900;1;500;1;261;34
50.6;24.4;25;0.1874;1701.5;1.6672;0.1389;0.079;86.017;0.491;1000;4;900;1;400;4;238;45
50.6;24.4;25;0.1874;1701.5;1.6672;0.1389;0.079;86.017;0.491;1000;4;900;1;600;4;337;50
50.6;24.4;25;0.1874;1701.5;1.6672;0.1389;0.079;86.017;0.491;1000;4;900;1;0;0;272;52
50.6;24.4;25;0.1874;1701.5;1.6672;0.1389;0.079;86.017;0.491;1000;4;900;1;700;4;356;66
50.6;24.4;25;0.1874;1701.5;1.6672;0.1389;0.079;86.017;0.491;1000;4;0;0;0;0;369;68
49.4;38.6;12;0.2249;1631.1;1.694;0.1376;0.0779;68.911;0.449;0;0;1000;24;900;1;240;50
49.4;38.6;12;0.2249;1631.1;1.694;0.1376;0.0779;68.911;0.449;0;0;0;0;0;0;247;52
49.4;38.6;12;0.2249;1631.1;1.694;0.1376;0.0779;68.911;0.449;0;0;1000;24;0;0;285;87
27;70;3;0.2237;1628.8;1.6327;0.1414;0.0768;54.736;0.455;0;0;0;0;0;0;132.4;93.2
24;70;6;0.2057;1652.1;1.6144;0.1424;0.077;58.33;0.47;0;0;0;0;0;0;164.6;100
21;70;9;0.1895;1675.3;1.5961;0.1435;0.0771;61.923;0.485;0;0;0;0;0;0;254.7;78.9
49;36;15;0.2139;1648.8;1.6853;0.138;0.0782;72.785;0.46;900;5;0;0;0;0;343;62
49;41;10;0.2318;1620.8;1.6973;0.1374;0.0778;66.256;0.443;900;5;0;0;0;0;220;65
49;44;7;0.244;1603.9;1.7045;0.1371;0.0775;62.338;0.432;900;5;0;0;0;0;167;76
49;46;5;0.2529;1592.7;1.7093;0.1368;0.0774;59.726;0.426;900;5;0;0;0;0;142;62
49;48;3;0.2625;1581.5;1.7141;0.1366;0.0772;57.115;0.419;900;5;0;0;0;0;128;52
51;29;20;0.2014;1672.6;1.6807;0.1382;0.0786;79.531;0.473;1050;72;0;0;650;3;183;59
